"full_name","constituency","party","profile_url","dail_term","dail_period","number_of_seats","term_number"
"Robert Childers Barton","Wicklow West","Sinn Féin","/en/members/member/Robert-Childers-Barton.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Ernest Blythe","Monaghan North","Sinn Féin","/en/members/member/Ernest-Blythe.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Harry Boland","Roscommon South","Sinn Féin","/en/members/member/Harry-Boland.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Séamus Aloysius Bourke","Tipperary Mid","Sinn Féin","/en/members/member/Séamus-Aloysius-Bourke.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Cathal Brugha","Waterford County","Sinn Féin","/en/members/member/Cathal-Brugha.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Donal Buckley","Kildare North","Sinn Féin","/en/members/member/Donal-Buckley.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Piaras Béaslaí","Kerry East","Sinn Féin","/en/members/member/Piaras-Béaslaí.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"John J. Clancy","Sligo North","Sinn Féin","/en/members/member/John-J-Clancy.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Michael P. Colivet","Limerick City","Sinn Féin","/en/members/member/Michael-P-Colivet.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Conor Collins","Limerick West","Sinn Féin","/en/members/member/Conor-Collins.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Michael Collins","Cork South","Sinn Féin","/en/members/member/Michael-Collins.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"William T. Cosgrave","Kilkenny North","Sinn Féin","/en/members/member/William-T-Cosgrave.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Dr. John Crowley","Mayo North","Sinn Féin","/en/members/member/Dr-John-Crowley.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"James Crowley","Kerry North","Sinn Féin","/en/members/member/James-Crowley.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
"Bryan Cusack","Galway North","Sinn Féin","/en/members/member/Bryan-Cusack.D.1919-01-21/","1st Dáil","(1919 - 1921)","128",1
